chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
emma_028	1	21	1	5	2	10	busy as he was however the young man was yet able to shew a most happy countenance on seeing emma again
emma_028	2	64	0	0	4	6	that she was not immediately ready emma did suspect to arise from the state of her nerves she had not yet possessed the instrument long enough to touch it without emotion she must reason herself into the power of performance and emma could not but pity such feelings whatever their origin and could not but resolve never to expose them to her neighbour again
emma_028	3	33	1	3	5	15	mrs weston had been delighted before and was delighted again emma joined her in all her praise and the pianoforte with every proper discrimination was pronounced to be altogether of the highest promise
emma_028	4	19	1	5	0	0	whoever colonel campbell might employ said frank churchill with a smile at emma the person has not chosen ill
emma_028	5	14	0	0	2	14	it is not fair said emma in a whisper mine was a random guess
emma_028	6	4	0	0	0	0	do not distress her
emma_028	7	22	1	5	1	5	he took some music from a chair near the pianoforte and turning to emma said here is something quite new to me
emma_028	8	63	4	6	6	10	emma wished he would be less pointed yet could not help being amused and when on glancing her eye towards jane fairfax she caught the remains of a smile when she saw that with all the deep blush of consciousness there had been a smile of secret delight she had less scruple in the amusement and much less compunction with respect to her
emma_028	9	10	1	10	0	0	emma took the opportunity of whispering you speak too plain
emma_028	10	4	0	0	0	0	she must understand you
emma_028	11	4	0	0	1	25	i hope she does
emma_028	12	6	0	0	0	0	i would have her understand me
emma_028	13	12	1	8	0	0	i have now a key to all her odd looks and ways
emma_028	14	4	1	25	1	25	leave shame to her
emma_028	15	9	0	0	1	11	if she does wrong she ought to feel it
emma_028	16	8	0	0	2	25	she is not entirely without it i think
emma_028	17	10	1	10	1	10	she is playing robin adair at this moment his favourite
emma_028	18	14	1	7	2	14	the listeners were amused and mrs weston gave emma a look of particular meaning
emma_028	19	9	1	11	0	0	but emma still shook her head in steady scepticism
emma_028	20	58	3	5	5	9	emma found it really time to be at home the visit had already lasted long and on examining watches so much of the morning was perceived to be gone that mrs weston and her companion taking leave also could allow themselves only to walk with the two young ladies to hartfield gates before they set off for randalls
